% 1. Title: Tweets evaluation
%
% 2. Source:
%      (a) Creator: Roberto Rezende
%      (b) Donor: Sôra
%      (c) Date: Juny, 2021
%
@RELATION tweets

@ATTRIBUTE compr		NUMERIC
@ATTRIBUTE nov			NUMERIC
@ATTRIBUTE problem		NUMERIC
@ATTRIBUTE quer			NUMERIC
@ATTRIBUTE (			NUMERIC
@ATTRIBUTE nunc			NUMERIC
@ATTRIBUTE ach			NUMERIC
@ATTRIBUTE ano			NUMERIC
@ATTRIBUTE dellnobrasil	NUMERIC
@ATTRIBUTE vai			NUMERIC
@ATTRIBUTE dá			NUMERIC
@ATTRIBUTE vou			NUMERIC
@ATTRIBUTE )			NUMERIC
@ATTRIBUTE deu			NUMERIC
@ATTRIBUTE 3			NUMERIC
@ATTRIBUTE nao			NUMERIC
@ATTRIBUTE atual		NUMERIC
@ATTRIBUTE troc			NUMERIC
@ATTRIBUTE aqu			NUMERIC
@ATTRIBUTE car			NUMERIC
@ATTRIBUTE 1			NUMERIC
@ATTRIBUTE dess			NUMERIC
@ATTRIBUTE ta			NUMERIC
@ATTRIBUTE window		NUMERIC
@ATTRIBUTE ter			NUMERIC
@ATTRIBUTE ness			NUMERIC
@ATTRIBUTE agor			NUMERIC
@ATTRIBUTE tel			NUMERIC
@ATTRIBUTE tão			NUMERIC
@ATTRIBUTE lig			NUMERIC
@ATTRIBUTE mand			NUMERIC
@ATTRIBUTE suport		NUMERIC
@ATTRIBUTE aind			NUMERIC
@ATTRIBUTE hp			NUMERIC
@ATTRIBUTE vez			NUMERIC
@ATTRIBUTE outr			NUMERIC
@ATTRIBUTE bost			NUMERIC
@ATTRIBUTE técn			NUMERIC
@ATTRIBUTE precis		NUMERIC
@ATTRIBUTE tô			NUMERIC
@ATTRIBUTE bom			NUMERIC
@ATTRIBUTE reclam		NUMERIC
@ATTRIBUTE dia			NUMERIC
@ATTRIBUTE tod			NUMERIC
@ATTRIBUTE pq			NUMERIC
@ATTRIBUTE driv			NUMERIC
@ATTRIBUTE olh			NUMERIC
@ATTRIBUTE ser			NUMERIC
@ATTRIBUTE cheg			NUMERIC
@ATTRIBUTE melhor		NUMERIC
@ATTRIBUTE fal			NUMERIC
@ATTRIBUTE boa			NUMERIC
@ATTRIBUTE fic			NUMERIC
@ATTRIBUTE arrum		NUMERIC
@ATTRIBUTE funcion		NUMERIC
@ATTRIBUTE trav			NUMERIC
@ATTRIBUTE cois			NUMERIC
@ATTRIBUTE faz			NUMERIC
@ATTRIBUTE nad			NUMERIC
@ATTRIBUTE fiz			NUMERIC
@ATTRIBUTE resolv		NUMERIC
@ATTRIBUTE inspiron		NUMERIC
@ATTRIBUTE pag			NUMERIC
@ATTRIBUTE tá			NUMERIC
@ATTRIBUTE brasil		NUMERIC
@ATTRIBUTE lind			NUMERIC
@ATTRIBUTE sit			NUMERIC
@ATTRIBUTE mes			NUMERIC
@ATTRIBUTE marc			NUMERIC
@ATTRIBUTE dellajud		NUMERIC
@ATTRIBUTE vend			NUMERIC
@ATTRIBUTE >			NUMERIC
@ATTRIBUTE 10			NUMERIC
@ATTRIBUTE aí			NUMERIC
@ATTRIBUTE bat			NUMERIC
@ATTRIBUTE quas			NUMERIC
@ATTRIBUTE cas			NUMERIC
@ATTRIBUTE porqu		NUMERIC
@ATTRIBUTE atend		NUMERIC
@ATTRIBUTE pro			NUMERIC
@ATTRIBUTE <			NUMERIC
@ATTRIBUTE pi			NUMERIC
@ATTRIBUTE link			NUMERIC
@ATTRIBUTE assist		NUMERIC
@ATTRIBUTE format		NUMERIC
@ATTRIBUTE pens			NUMERIC
@ATTRIBUTE menos		NUMERIC
@ATTRIBUTE 2			NUMERIC
@ATTRIBUTE gost			NUMERIC
@ATTRIBUTE pc			NUMERIC
@ATTRIBUTE class		{negativo, positivo}
@DATA
1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, positivo
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, negativo
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, negativo
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, negativo
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, positivo
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, positivo
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, positivo
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, negativo
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, positivo
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, negativo
