aval;msg
-1;notehbook da dell é um LIXO !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
-1;@telmakalistos O problema é que o meu notebook que estragou era justamente da Dell. Não tive uma experiência boa com ela :(
-1;Eu odeio esse notebook da Dell, mano, vocês não tem noção. #SaudadesSamsung
-1;@tmnobre Por nada! Eu tenho um notebook Dell e já passei muita dor de cabeça com ele.
-1;Comprar memória pro notebook? Impossível! O jeito é reclamar da Dell no @ReclameAQUI: http://www.reclameaqui.com.br/14509101/dell-computadores-do-brasil/impossivel-adicionar-memoria-ao-notebook/ … @DellnoBrasil @Dell @Dellajuda
-1;Que merda de notebook esse Dell de bosta
-1;Estou extremamente insatisfeita com meu notebook Dell novo, pois a placa wireless Intel 7260 conectividade ruim @dellnoBrasil @intelbrasil
-1;A Dell viu meu nome e me vendeu o notebook com defeito, né possível! Um i5, 6GB de memória, q não rende o q uns i3 2GB rendem por ai ><
-1;Meu notebook atual veio com antivírus McAfee. MEU DEUS COMO É RUIM! Por que a Dell trocou a Norton por eles, hein?
-1;Quero comprar um notebook novo, esse aqui não dá mais, plmdds. Comprar da Dell foi a PIOR decisão que eu fiz, sério.
-1;É fácil, atrás de um notebook da Dell ou Iphone, julgar alguém que rala o dia todo para sustentar uma família e mostrar o futebol a filha.
-1;alo @dell o notebook da @nicollechidiac ta com problema o modelo é esse aqui  Link permanente da imagem incorporada
-1;Notebook de 3mil dar problema para conectar Wi-Fi aff maria Dell
-1;Acho que nessa semana o técnico da Dell vem buscar o notebook e trazer o novo -amém-
-1;Meu notebook ficou zoado desde que a dell instalou o negócio de reconhecer rosto. Que ódio!
-1;Aguardando até agora a Assistência 24h da @Dell #DellBrazil. Você tem seus prazos para cumprir e seu notebook parado até quando?
-1;A pessoa compra um notebook e é obrigado a comprar um mouse...pq o touchpad não vale bosta! CCE >>>>>>> DELL
-1;Perguntar não ofende: por quê a Dell vende um notebook com sistema operacional Ubuntu MAIS CARO que o mesmo notebook com Windows 8.1 ? ?
-1;Nas opções do laptop mag indicaram o Dell XPS 13. Aquele notebook é horroroso em questões de design
-1;Tenta voltar seu notebook da dell do windows 10 para o windows 8.1, VC vai ver q bosta é isso. Tela petra 5 horas.  Link permanente da imagem incorporada
-1;Nunca mais compro notebook da dell
-1;Você acha que a @Dell tem notebooks com uma qualidade superior, você está enganado. #dell #dellLIXO #NÃOCOMPREDELL http://www.reclameaqui.com.br/14295761/dell-computadores-do-brasil/notebook-dell-qualidade-ruim/ …
-1;eu tiro baidu hao123 br123 jogo do fuleco isurf webssearch  mas não consigo formatar um notebook DA DELL @DellnoBrasil
-1;Nunca pensei que seria tão difícil , configurar um notebook da Dell
-1;@opiomorph @mattoi_ eu fiz backup e clean install no notebook novo da minha mãe. já veio ruim de fábrica cheio daqueles programas da dell
-1;Td o que eu queria era o meu notebook sério nunca te pedi nada @dell
-1;Nunca comprem notebook na loja http://ln.is/www.dell.com.br/HrryC …
-1;finalmente comprei meu notebook  amém senhor finalmente comprei um da samsung msm pq da dell ta caro 0 retweet 1 curtiu Responder   Retweetar    Curtir  1
-1;Dell é o notebook que tem estrutura mais fraca, sempre quebra.
-1;@dell vem logo arrumar o meu notebook pfvrzinho
-1;To a 1 hora com a dell no telefone espero que resolva o problema do meu notebook ngm merece comprar e uma semana dps estragar
-1;Seguinte: Tenho um notebook Dell N4030 que está dando problema, comprei uma fonte nova, ela funciona. Porém, eu... http://fb.me/8i1a6jQgt
-1;TO IRADOO!
-1;Ai meu notebook é o um DELL, que não tem um PowerPoint, LIXOOOOOOOOOOO
-1;@dell alguém consegue me explicar por que eu não consigo nem aumentar e nem diminuir o brilho do meu notebook? Obrigado!!
-1;@Dell Notebook Inspiron N4050 com o seguinte erro de HD - Error code 2000.0142 - Validation 37296 self test unsuccessful status:7. Soluções?
-1;@diegobferreira ah sim... experimenta comprar um notebook dell, hp, sony... vc morre louco com tanto programa acessório chato.
-1;@AncineGovBr vejam bem, eu não perdoo a Dell por estar com um notebook estragado. Imagina se eu vou perdoar vocês por estragarem a Netflix.
-1;Entrei no chat da dell p ve o negócio do meu notebook e sou a 10 porra !!
-1;Meu notebook Dell fica conectado ao carregador, mas não carrega. Já é a segunda vez que isso acontece em menos de... http://fb.me/4JDEE65rs
-1;Problemas com eletrônicos só aparecem depois que acaba a garantia, incrível! #Dell #Notebook
-1;Paguei 2800 em um notebook dell que só durou um ano e meio
-1;Queria poder devolver essa bomba de notebook Dell e pegar um Acer. Me arrependo amargamente.
-1;Dúvida existencial: vou parar de reclamar da Dell quando eles arrumarem meu notebook?
-1;A dor de cabeça que o meu notebook @acer nunca deu o meu @dell que foi muito mais caro tá dando. Péssimo pós venda.
-1;o praise-the-lord amazing wonderful ultra mega power notebook Dell® foi pra fita em 2 semanas. Nem isso, eu acho.
-1;Podem ter certeza: eu nunca mais vou comprar um Dell. Nem que seja o último notebook da face da terra.
-1;Você atualiza o notebook da Dell para o Windows 10, a tela do notebook morre, você liga para a Dell e mandam você ligar para a Microsoft.
-1;Atualizar Driver do Chipset e Bios pra tudo funcionar!! Bosta de Dell!! Vou comprar um notebook novo e foda-se!
-1;Odeio meu notebook dell. Uma bosta
-1;Atualizar o notebook e ele travar de vez. Só comigo ? #dell #Windows8 #help
-1;Aí eu procuro uma bateria nova pro meu notebook de 5 aninhos e o fabricante não vende mais. #comofas Dell???
-1;Primeiro susto - resolvido - Dell: O notebook está carregado, mas não liga nem com a mulesta.
-1;Notebook da @dell inutilizável após update para o windows 10 da @microsoftbr Ajudem a compartilhar quero uma solução!
-1;Comprei um notebook da Dell. Rapaz, se arrependimento matasse, eu tava já em decomposição. Pqp. Que novela.
-1;@firsttromeo @myunngsoo gnete vcs nunca viram comercial da dell não ultrabook eh um notebook SUPEEEEEEEERRRRR lixo odiei
-1;Como se eu fosse comprar mais alguma coisa na Dell depois dessa putaria com o meu notebook
-1;vou instalar o w10 no notebook da minha mãe mas vou deixar ele formatar. eu quero matar esses programinhas da dell que vêm junto.
-1;Receptor WiFi em notebook em geral é bem ruim. Meu celular aqui ao lado nem sente as pequenas quedas de conexão, o Dell fica 3 minutos off
-1;Reclame Aqui - Dell Computadores do Brasil - não consigo pedir para conserto de notebook... http://fb.me/2h94oSENa
-1;alo @dell vamo cooperar que esse notebook nao tem nem 1 ano pra dar problema me ajuda
-1;Dell diagnostic hard drive error code ..  :'( tentando resolver um problema, eu achei outro .. notebook e eu super 'alinhados'  :-/
-1;A tela do meu notebook dell é muito apagada e sem brilho, quando jogo na TV ou no Mac parece outra coisa
-1;tenho um  notebook da Dell tem um processador i7 e 8GB de RAM e o Google Chrome trava a cada 10 minutos
-1;Quando eu precisar trocar de notebook, sem dúvidas não comprarei Dell
-1;Daora, ia mandar um email pra Dell, perguntando se meu notebook vai funcionar de boa com o Windows 10---> minha garantia expirou
-1;Me lembrem de nunca comprar notebook da Dell
-1;Pra vc que pensa em comprar um notebook #Inspiron 14 3000 Series da #Dell... Não compre.
-1;AAAAAAAAAAAAAAAAAAAAAH KCETE, DELL  WHY TU ME MANDA MSG DIZENDO PRA VERIFICAR STATUS DO MEU NOTEBOOK, SE NÃO MUDA NADA?
-1;meu notebook deu pau e a Dell quis cobrar quase 1k pra arrumar (sem dizer qual que é o problema)
-1;Todo mundo que conheço e comprou Dell teve algum problema, seja na entrega ou com o notebook
